name,instance,type,hypervisor,virtualization_type,architecture,ebs_optimized,image_id,key_name,metric,low,high,ave,median,launch_time,subnet_id,vpc_id
skynet-dev-nodejs-server,i-0b6e742e9f911a549,t2.small,xen,hvm,x86_64,False,ami-00b88b38a07259e35,nodejs-dev,CPUUtilization,0.65573770491892702,74.590163934426201,2.0600000000000001,1.1666666666663601,2018-09-13 18:59:17+00:00,subnet-050a6c8c48ebedc7e,vpc-026b370b1453fc0a8
skynet-tst-nodejs-server,i-0302cf58cd0879df4,t2.small,xen,hvm,x86_64,False,ami-0d43aac99c6868d2e,nodejs-dev,CPUUtilization,0.33898305084753499,100.0,3.79,1.3114754098360799,2018-10-23 17:04:25+00:00,subnet-050a6c8c48ebedc7e,vpc-026b370b1453fc0a8
ECS Instance - EC2ContainerService-prod-firmware-geolocation,i-0a0e191fe9b3b5c12,t2.medium,xen,hvm,x86_64,False,ami-b2df2ca4,prod-flir-firmware-geolocation-service-northamerica-key-pair,CPUUtilization,0.32786885246020903,23.728813559321999,0.40999999999999998,0.338983050842525,2017-07-11 20:39:39+00:00,subnet-eb31bfc0,vpc-01370764
skynet-tst-webserver/Jenkins,i-0b36ec7a69a3f61d5,t2.micro,xen,hvm,x86_64,False,ami-059eeca93cf09eebd,exodus-bastion-host,CPUUtilization,0.16949152542371901,100.0,2.4700000000000002,0.50000000000030298,2018-10-19 20:38:03+00:00,subnet-051cedc34f540bf84,vpc-026b370b1453fc0a8
EC2 Instance - EC2-prod-flir-reporting,i-0bd19914e59b5c000,t2.medium,xen,hvm,x86_64,False,ami-21e0ef36,prod-flir-reporting-key-pair,CPUUtilization,2.5833333333381798,78.999999999990294,17.539999999999999,12.0000000000194,2016-12-28 14:11:17+00:00,subnet-947a39e3,vpc-01370764
skynet-dev-bastionserver,i-0af132f6cfc97e9e3,t2.small,xen,hvm,x86_64,False,ami-0ff8a91507f77f867,exodus-bastion-host,CPUUtilization,0.16949152542280399,100.0,1.6299999999999999,0.16949152542434501,2018-10-03 13:46:41+00:00,subnet-051cedc34f540bf84,vpc-026b370b1453fc0a8
ECS Instance - EC2ContainerService-prod-flir-secure,i-0048830f442bbad43,t2.medium,xen,hvm,x86_64,False,ami-1924770e,prod-flir-secure-key-pair,CPUUtilization,1.1666666666860701,5.33333333332848,1.51,1.39344262293651,2017-11-16 03:48:23+00:00,subnet-65d31c59,vpc-70564817
External Exodus,i-0256443ae5f0ccbec,t2.micro,xen,hvm,x86_64,False,ami-f973ab84,external_exodus,CPUUtilization,0.166666666670305,6.2711864406791999,0.54000000000000004,0.33898305084869101,2018-05-02 20:06:30+00:00,subnet-2da2c574,vpc-01370764
skynet-dev-dbserver,i-05018437f9a084df3,t2.small,xen,hvm,x86_64,False,ami-059eeca93cf09eebd,nodejs-dev,CPUUtilization,0.32258064516127199,52.586206896551701,1.47,0.34482758620697501,2018-10-24 21:24:17+00:00,subnet-0a825ce66c802f4b3,vpc-026b370b1453fc0a8
PuppetMasterServer,i-0dcca3a4223daf413,t2.medium,xen,hvm,x86_64,False,ami-059eeca93cf09eebd,exodus-bastion-host,CPUUtilization,0.084745762711865597,100.0,5.04,0.409836065573771,2018-10-26 21:58:44+00:00,subnet-051cedc34f540bf84,vpc-026b370b1453fc0a8
PROD_FLIR_LOGGER,i-0682a6f9,m1.large,xen,paravirtual,x86_64,False,ami-30ed6358,integ-utils,CPUUtilization,2.4166666666860701,9.5833333333333304,3.3199999999999998,3.1967213114706401,2018-01-04 14:34:39+00:00,,
skynet-dev-webserver,i-01c14cb57a52f42ee,t2.small,xen,hvm,x86_64,False,ami-059eeca93cf09eebd,exodus-bastion-host,CPUUtilization,0.16949152542371901,59.5,1.3700000000000001,0.33333333333340898,2018-10-18 01:40:25+00:00,subnet-051cedc34f540bf84,vpc-026b370b1453fc0a8
